GEO,VALUE
E8N,2396
E8P,3408
E8R,3125
E8S,4610
E8T,5713
E9A,2229
E9B,2274
E9C,2149
E9E,3870
E9G,5297
E9H,2931
G0A,83411
G0C,45955
G0E,4630
G0G,16315
G0H,10538
G0J,29007
G0K,11722
G0L,60937
G0M,34401
G0N,19994
G0P,6786
G0R,84338
G0S,72494
G0T,13560
G0V,18374
G0W,36541
G0X,60486
G0Y,9320
G0Z,8974
G1B,16698
G1C,36215
G1E,27753
G1G,24975
G1H,29618
G1J,23325
G1K,18911
G1L,22024
G1M,20770
G1N,8400
G1P,16538
G1R,16423
G1S,25912
G1T,6797
G1V,23629
G1W,22499
G1X,26746
G1Y,12738
G2A,15350
G2B,24936
G2C,12283
G2E,21054
G2G,10790
G2J,3223
G2K,12845
G2L,14609
G2M,5625
G2N,8486
G3A,20233
G3B,8315
G3C,10434
G3E,16115
G3G,10026
G3H,10142
G3J,10635
G3K,20396
G3L,11103
G3M,7436
G3N,11114
G3S,6647
G3Z,7371
G4A,3063
G4R,20327
G4S,4931
G4T,12654
G4V,6288
G4W,13988
G4X,15063
G4Z,9389
G5A,8283
G5B,5976
G5C,11390
G5H,6974
G5J,6010
G5L,28733
G5M,8829
G5N,8375
G5R,20118
G5T,2884
G5V,10999
G5X,6181
G5Y,23088
G5Z,7603
G6A,2546
G6B,8404
G6C,7959
G6E,13110
G6G,20356
G6H,7097
G6J,10627
G6K,8237
G6L,15293
G6P,29578
G6R,4702
G6S,5384
G6T,11201
G6V,32034
G6W,25242
G6X,9307
G6Y,7232
G6Z,23582
G7A,25429
G7B,17614
G7G,16414
G7H,28684
G7J,14443
G7K,762
G7N,6389
G7P,7418
G7S,19807
G7T,1640
G7X,25550
G7Y,628
G7Z,2638
G8A,6033
G8B,22060
G8C,4412
G8E,3837
G8G,4121
G8H,10040
G8J,4259
G8K,10089
G8L,14282
G8M,5173
G8N,2511
G8P,7310
G8T,27831
G8V,9956
G8W,11010
G8Y,33298
G8Z,13972
G9A,20399
G9B,18680
G9C,4017
G9H,13559
G9N,16125
G9P,11567
G9R,2324
G9T,15940
G9X,10610
H1A,33158
H1B,20651
H1C,15085
H1E,42568
H1G,50989
H1H,37847
H1J,10587
H1K,37304
H1L,34612
H1M,29352
H1N,24444
H1P,18118
H1R,31259
H1S,26715
H1T,31318
H1V,21908
H1W,30004
H1X,30178
H1Y,29286
H1Z,36487
H2A,19454
H2B,18049
H2C,17976
H2E,23507
H2G,22115
H2H,14728
H2J,27028
H2K,29084
H2L,27057
H2M,18468
H2N,6442
H2P,14388
H2R,22987
H2S,27217
H2T,16297
H2V,31998
H2W,11508
H2X,21548
H2Y,3727
H2Z,3757
H3A,4360
H3B,1900
H3C,18583
H3E,21565
H3G,11424
H3H,20690
H3J,11915
H3K,15275
H3L,20996
H3M,15840
H3N,29080
H3P,10172
H3R,10108
H3S,33618
H3T,13009
H3V,6732
H3W,30766
H3X,24214
H3Y,9564
H3Z,11544
H4A,26362
H4B,20937
H4C,17301
H4E,30154
H4G,29860
H4H,18936
H4J,18075
H4K,11319
H4L,36216
H4M,12466
H4N,30199
H4P,9106
H4R,31132
H4S,567
H4T,0
H4V,20701
H4W,26359
H4X,6467
H7A,21639
H7B,2957
H7C,8816
H7E,26590
H7G,22054
H7H,13865
H7J,2161
H7K,22475
H7L,37893
H7M,27729
H7N,44641
H7P,37456
H7R,31001
H7S,7752
H7T,28213
H7V,23242
H7W,42580
H7X,27332
H7Y,9978
H8N,33207
H8P,22980
H8R,31491
H8S,25686
H8T,15270
H8Y,19915
H8Z,15127
H9A,15267
H9B,21104
H9C,11725
H9E,3190
H9G,15346
H9H,25097
H9J,21393
H9K,8898
H9P,3836
H9R,26002
H9S,22984
H9W,19277
H9X,9744
J0A,19149
J0B,65700
J0C,23445
J0E,51896
J0G,18624
J0H,52946
J0J,42141
J0K,149238
J0L,83316
J0M,25104
J0N,52112
J0P,42965
J0R,39041
J0S,34124
J0T,51466
J0V,27294
J0W,16608
J0X,48487
J0Y,29035
J0Z,34456
J1A,9132
J1C,6841
J1E,25866
J1G,19632
J1H,29653
J1J,15452
J1K,7435
J1L,16036
J1M,5923
J1N,35087
J1R,10960
J1S,7862
J1T,7993
J1X,33945
J1Z,5742
J2A,12264
J2B,33110
J2C,29991
J2E,4454
J2G,28297
J2H,22474
J2J,18341
J2K,18291
J2L,11381
J2M,7238
J2N,10149
J2R,10383
J2S,29943
J2T,17072
J2W,28762
J2X,20485
J2Y,5576
J3A,9136
J3B,33908
J3E,30045
J3G,33664
J3H,26673
J3L,53680
J3M,11345
J3N,17053
J3P,25025
J3R,14452
J3T,8620
J3V,26050
J3X,21198
J3Y,66364
J3Z,5774
J4B,41743
J4G,10010
J4H,15593
J4J,31102
J4K,27024
J4L,31866
J4M,13149
J4N,11382
J4P,11249
J4R,10674
J4S,6303
J4T,19718
J4V,17033
J4W,18191
J4X,19192
J4Y,25459
J4Z,28686
J5A,29922
J5B,8319
J5C,17347
J5J,18080
J5K,17740
J5L,22965
J5M,24005
J5N,169
J5R,49403
J5T,14425
J5V,7340
J5W,26780
J5X,8892
J5Y,30084
J5Z,28005
J6A,34313
J6E,46434
J6J,24855
J6K,25960
J6N,16014
J6R,14626
J6S,24765
J6T,18022
J6V,14621
J6W,32422
J6X,25257
J6Y,22926
J6Z,19627
J7A,14187
J7B,13068
J7C,46679
J7E,29356
J7G,17310
J7H,8185
J7J,27644
J7K,36960
J7L,14223
J7M,24708
J7N,33449
J7P,25226
J7R,37992
J7T,29584
J7V,69657
J7W,14751
J7X,5643
J7Y,27006
J7Z,30230
J8A,10669
J8B,14012
J8C,11667
J8E,11046
J8G,8209
J8H,15142
J8L,20056
J8M,13157
J8N,13833
J8P,35320
J8R,28947
J8T,37832
J8V,27274
J8X,11782
J8Y,23803
J8Z,14814
J9A,22508
J9B,7999
J9E,7664
J9H,32921
J9J,41342
J9L,14164
J9P,33008
J9T,13221
J9V,3409
J9X,22993
J9Y,10755
J9Z,7411
K0A,111626
K0B,21020
K0C,52838
K0E,39649
K0G,39862
K0H,47286
K0J,34322
K0K,115850
K0L,78142
K0M,53815
K1A,594
K1B,17769
K1C,37235
K1E,14508
K1G,35074
K1H,16306
K1J,28268
K1K,32046
K1L,18213
K1M,6764
K1N,26639
K1P,645
K1R,20343
K1S,31257
K1T,40054
K1V,57157
K1W,13825
K1X,4594
K1Y,20712
K1Z,22714
K2A,17156
K2B,33254
K2C,29359
K2E,20172
K2G,50692
K2H,26759
K2J,81863
K2K,24922
K2L,18739
K2M,28708
K2P,18825
K2R,1237
K2S,38903
K2T,11871
K2V,10486
K2W,8553
K4A,62125
K4B,4704
K4C,4538
K4K,16958
K4M,14380
K4P,10448
K4R,8740
K6A,12529
K6H,30440
K6J,17827
K6K,3452
K6T,690
K6V,28174
K7A,17575
K7C,20382
K7G,8740
K7H,16175
K7K,33705
K7L,19621
K7M,49268
K7N,8395
K7P,24660
K7R,15480
K7S,14265
K7V,13943
K8A,26392
K8B,490
K8H,16188
K8N,30393
K8P,23166
K8R,2012
K8V,28936
K9A,26757
K9H,29704
K9J,44547
K9K,13359
K9L,7813
K9V,29369
L0A,15325
L0B,15501
L0C,9486
L0E,21898
L0G,44945
L0H,1223
L0J,4945
L0K,38386
L0L,42022
L0M,37226
L0N,2395
L0P,7779
L0R,83602
L0S,60409
L1A,15845
L1B,13203
L1C,50217
L1E,28325
L1G,43497
L1H,32298
L1J,43107
L1K,43574
L1L,12976
L1M,22542
L1N,49649
L1P,22928
L1R,42221
L1S,42045
L1T,52632
L1V,52787
L1W,18433
L1X,24639
L1Y,1976
L1Z,31989
L2A,17293
L2E,18587
L2G,30344
L2H,29820
L2J,14908
L2M,33704
L2N,30719
L2P,15128
L2R,25558
L2S,19400
L2T,11401
L2V,19795
L2W,1959
L3B,25869
L3C,33462
L3K,19458
L3L,879
L3M,28433
L3P,37336
L3R,62060
L3S,55403
L3T,50405
L3V,48651
L3X,45284
L3Y,43556
L3Z,41072
L4A,50389
L4B,36080
L4C,74636
L4E,54606
L4G,62061
L4H,77353
L4J,75120
L4K,20172
L4L,55426
L4M,46902
L4N,100835
L4P,29861
L4R,19245
L4S,36688
L4T,38182
L4V,5
L4W,19744
L4X,18719
L4Y,23490
L4Z,37218
L5A,47406
L5B,67131
L5C,29284
L5E,12972
L5G,20714
L5H,17409
L5J,28208
L5K,13363
L5L,43585
L5M,106468
L5N,83700
L5R,37022
L5S,27
L5T,19
L5V,49149
L5W,24145
L6A,89287
L6B,34763
L6C,51738
L6E,38387
L6G,8364
L6H,72662
L6J,24420
L6K,14118
L6L,30012
L6M,72547
L6P,91155
L6R,93783
L6S,54361
L6T,39614
L6V,42392
L6W,23547
L6X,76113
L6Y,97601
L6Z,33888
L7A,104009
L7B,17809
L7C,33846
L7E,34516
L7G,48051
L7J,13766
L7K,8486
L7L,47433
L7M,48498
L7N,13160
L7P,29777
L7R,17338
L7S,12207
L7T,18555
L8B,25778
L8E,41927
L8G,21805
L8H,26187
L8J,29146
L8K,32598
L8L,32312
L8M,13774
L8N,15568
L8P,24773
L8R,11651
L8S,15787
L8T,19405
L8V,21165
L8W,26077
L9A,25899
L9B,25025
L9C,41202
L9E,16933
L9G,25020
L9H,31221
L9J,2272
L9K,15928
L9L,14620
L9M,16607
L9N,21656
L9P,17383
L9R,25949
L9S,33434
L9T,110956
L9V,17750
L9W,48790
L9X,12896
L9Y,28925
L9Z,24849
M1B,65555
M1C,35642
M1E,48033
M1G,30894
M1H,23964
M1J,37002
M1K,48175
M1L,35833
M1M,23258
M1N,22976
M1P,45170
M1R,30467
M1S,37663
M1T,34607
M1V,50825
M1W,47070
M1X,14810
M2H,23396
M2J,61761
M2K,25377
M2L,11274
M2M,31915
M2N,75100
M2P,7546
M2R,40581
M3A,34361
M3B,12880
M3C,39616
M3H,38416
M3J,26600
M3K,7865
M3L,19263
M3M,24906
M3N,40846
M4A,14589
M4B,18612
M4C,46440
M4E,25473
M4G,19598
M4H,18698
M4J,35128
M4K,30913
M4L,32218
M4M,25052
M4N,16058
M4P,25057
M4R,11909
M4S,30754
M4T,10332
M4V,19273
M4W,15296
M4X,19896
M4Y,36319
M5A,48978
M5B,17422
M5C,3149
M5E,11779
M5G,9751
M5H,3248
M5J,16879
M5M,25495
M5N,16154
M5P,19791
M5R,26197
M5S,17074
M5T,17903
M5V,59912
M6A,22380
M6B,28534
M6C,23997
M6E,37684
M6G,30600
M6H,43730
M6J,32111
M6K,42110
M6L,20156
M6M,42148
M6N,40252
M6P,39870
M6R,19349
M6S,34029
M7A,5
M8V,44144
M8W,22381
M8X,10624
M8Y,21986
M8Z,19312
M9A,36642
M9B,33236
M9C,38725
M9L,11737
M9M,24245
M9N,26059
M9P,20645
M9R,33783
M9V,53878
M9W,40977
N0A,31957
N0B,86919
N0C,17537
N0E,36557
N0G,86935
N0H,53674
N0J,33457
N0K,24817
N0L,49817
N0M,69177
N0N,42297
N0P,53140
N0R,50203
N1A,12614
N1C,3678
N1E,44799
N1G,29688
N1H,42178
N1K,10908
N1L,17474
N1M,18498
N1P,7991
N1R,42928
N1S,20171
N1T,18513
N2A,32454
N2B,16939
N2C,17681
N2E,40428
N2G,14580
N2H,22456
N2J,20899
N2K,29381
N2L,37953
N2M,36494
N2N,26596
N2P,25040
N2R,18445
N2T,20634
N2V,19428
N2Z,12341
N3A,17045
N3B,13190
N3C,27518
N3E,2802
N3H,24306
N3L,17676
N3P,8542
N3R,35858
N3S,27527
N3T,37406
N3V,1562
N3W,15805
N3Y,23402
N4B,8223
N4G,21519
N4K,28975
N4L,8337
N4N,10341
N4S,33055
N4T,15161
N4V,3477
N4W,13311
N4X,9946
N4Z,2362
N5A,32898
N5C,15721
N5H,15625
N5L,3714
N5P,21081
N5R,30680
N5V,32961
N5W,24740
N5X,36963
N5Y,35934
N5Z,24067
N6A,13810
N6B,11101
N6C,30629
N6E,28140
N6G,50940
N6H,44215
N6J,27497
N6K,37596
N6L,5167
N6M,8542
N6N,728
N6P,10943
N7A,12495
N7G,19921
N7L,25127
N7M,25579
N7S,28410
N7T,26033
N7V,11611
N7W,2578
N7X,1129
N8A,12624
N8H,27530
N8M,11819
N8N,24534
N8P,14603
N8R,12733
N8S,22354
N8T,17935
N8W,24057
N8X,16457
N8Y,19254
N9A,26107
N9B,19613
N9C,12538
N9E,21465
N9G,20712
N9H,13173
N9J,20089
N9K,2757
N9V,21688
N9Y,15836
P0A,17822
P0B,9589
P0C,4824
P0E,3606
P0G,3553
P0H,31909
P0J,20179
P0K,11456
P0L,22859
P0M,49727
P0N,9435
P0P,20285
P0R,12976
P0S,10170
P0T,32000
P0V,22944
P0W,6454
P0X,8410
P0Y,96
P1A,16959
P1B,33113
P1C,3371
P1H,18099
P1L,17984
P1P,11083
P2A,14695
P2B,9754
P2N,6944
P3A,24326
P3B,16434
P3C,17596
P3E,29132
P3G,4167
P3L,7996
P3N,7980
P3P,15408
P3Y,7757
P4N,24098
P4P,3232
P4R,4795
P5A,11372
P5E,5427
P5N,8260
P6A,33800
P6B,22754
P6C,18766
P7A,28587
P7B,22675
P7C,21695
P7E,20897
P7G,13238
P7J,4859
P7K,6801
P7L,2188
P8N,9619
P8T,5541
P9A,10079
P9N,14088
R0A,43242
R0B,42205
R0C,56940
R0E,39578
R0G,43710
R0H,17902
R0J,29050
R0K,28076
R0L,26272
R0M,19451
R1A,21473
R1B,280
R1C,3937
R1N,16641
R2C,32816
R2E,9511
R2G,33874
R2H,16136
R2J,26960
R2K,34345
R2L,15255
R2M,38978
R2N,31384
R2P,35218
R2R,25599
R2V,38204
R2W,29483
R2X,19674
R2Y,19849
R3A,5156
R3B,12545
R3C,16798
R3E,19009
R3G,25200
R3H,116
R3J,28343
R3K,12431
R3L,20725
R3M,22203
R3N,16591
R3P,20616
R3R,25743
R3S,603
R3T,50190
R3V,6416
R3W,16173
R3X,22304
R3Y,33116
R4A,5471
R4G,1658
R4H,3282
R4J,1049
R4K,960
R4L,1350
R5A,3854
R5G,25086
R5H,5033
R5J,1431
R5K,6071
R5L,2251
R5M,2296
R5N,5593
R5P,738
R5R,1310
R5T,865
R6M,11444
R6W,21551
R7A,30022
R7B,22321
R7C,2870
R7N,9956
R8A,5294
R8N,13294
R9A,6782
S0A,52751
S0C,21738
S0E,32382
S0G,65896
S0H,21972
S0J,50642
S0K,90185
S0L,30490
S0M,48250
S0N,21369
S0P,6464
S2V,863
S3N,18635
S4A,11958
S4H,11807
S4K,81
S4L,5643
S4N,30983
S4P,13501
S4R,34399
S4S,34562
S4T,31061
S4V,33781
S4W,14378
S4X,29118
S4Y,5669
S4Z,1340
S6H,27554
S6J,5847
S6K,1337
S6V,42147
S6W,288
S6X,2521
S7A,176
S7B,497
S7C,1137
S7H,36818
S7J,30833
S7K,39076
S7L,41123
S7M,31870
S7N,27385
S7P,178
S7R,8990
S7S,5730
S7T,17468
S7V,16575
S7W,19204
S9A,14926
S9H,18545
S9V,14463
S9X,7899
T0A,57940
T0B,63070
T0C,62815
T0E,40343
T0G,40682
T0H,81424
T0J,50752
T0K,59088
T0L,52040
T0M,66367
T0P,3085
T1A,24982
T1B,32996
T1C,9405
T1G,11028
T1H,27814
T1J,26220
T1K,47253
T1L,7360
T1M,10056
T1P,17037
T1R,17161
T1S,43512
T1V,15703
T1W,17063
T1X,25295
T1Y,52860
T1Z,2709
T2A,57761
T2B,22530
T2C,19865
T2E,36342
T2G,16594
T2H,9223
T2J,41906
T2K,34673
T2L,14353
T2M,20475
T2N,25807
T2P,14347
T2R,17743
T2S,14781
T2T,30791
T2V,32631
T2W,39827
T2X,54683
T2Y,60196
T2Z,69025
T3A,51236
T3B,38129
T3C,24145
T3E,42336
T3G,57196
T3H,72004
T3J,78834
T3K,79143
T3L,30024
T3M,56701
T3N,33539
T3P,27666
T3R,34957
T3S,288
T3Z,10596
T4A,19940
T4B,58053
T4C,37325
T4E,5229
T4G,13368
T4H,11831
T4J,11390
T4L,17145
T4M,7754
T4N,30584
T4P,33759
T4R,37024
T4S,20586
T4T,13296
T4V,20160
T4X,26447
T5A,34427
T5B,15373
T5C,15937
T5E,33607
T5G,12873
T5H,25367
T5J,6288
T5K,22440
T5L,16755
T5M,15462
T5N,14713
T5P,20475
T5R,24643
T5S,7731
T5T,77839
T5V,146
T5W,20047
T5X,42643
T5Y,54437
T5Z,34199
T6A,14477
T6B,9291
T6C,20242
T6E,22893
T6G,11502
T6H,27878
T6J,45386
T6K,28047
T6L,49215
T6M,33889
T6N,28
T6P,1806
T6R,45153
T6S,23
T6T,48823
T6V,23107
T6W,83496
T6X,50392
T6Y,232
T7A,11412
T7E,13720
T7N,7176
T7P,7183
T7S,11873
T7V,10315
T7X,47506
T7Y,17057
T7Z,18929
T8A,42146
T8B,7075
T8C,4406
T8E,8247
T8G,4784
T8H,31062
T8L,29258
T8N,68213
T8R,15960
T8S,7930
T8T,7283
T8V,31632
T8W,21556
T8X,24187
T9A,15093
T9C,6656
T9E,34385
T9G,6969
T9H,26075
T9J,3776
T9K,40909
T9M,18238
T9N,9439
T9S,6360
T9V,20751
T9W,8091
T9X,5403
V0A,16077
V0B,36123
V0C,26463
V0E,72013
V0G,26940
V0H,58479
V0J,51918
V0K,33615
V0L,4849
V0M,12420
V0N,71423
V0P,7335
V0R,72310
V0S,366
V0T,9032
V0V,1894
V0W,503
V0X,22683
V1A,9024
V1B,23425
V1C,26195
V1E,21397
V1G,15116
V1H,14999
V1J,24491
V1K,9352
V1L,17641
V1M,31417
V1N,13357
V1P,9656
V1R,10295
V1S,13262
V1T,30436
V1V,26732
V1W,38374
V1X,35151
V1Y,39050
V1Z,16552
V2A,40489
V2B,41642
V2C,27038
V2E,15962
V2G,18200
V2H,7060
V2J,22680
V2K,21556
V2L,10101
V2M,23763
V2N,33870
V2P,39075
V2R,55505
V2S,52492
V2T,60078
V2V,36155
V2W,23673
V2X,50279
V2Y,46971
V2Z,16209
V3A,46299
V3B,61396
V3C,39448
V3E,42030
V3G,26939
V3H,37339
V3J,44558
V3K,31181
V3L,30988
V3M,47927
V3N,41405
V3R,61436
V3S,104997
V3T,45514
V3V,50873
V3W,95970
V3X,33054
V3Y,19414
V3Z,38837
V4A,38036
V4B,21828
V4C,48434
V4E,12280
V4G,72
V4K,25193
V4L,7874
V4M,16805
V4N,86011
V4P,13950
V4R,17038
V4S,7922
V4T,31700
V4V,17726
V4W,21246
V4X,14365
V4Z,5777
V5A,25403
V5B,22577
V5C,37684
V5E,26843
V5G,20137
V5H,41948
V5J,23190
V5K,23431
V5L,19473
V5M,23412
V5N,35843
V5P,31624
V5R,48150
V5S,32940
V5T,26340
V5V,24288
V5W,20828
V5X,31095
V5Y,19032
V5Z,24957
V6A,21062
V6B,32375
V6C,2846
V6E,27482
V6G,28013
V6H,17742
V6J,23044
V6K,27146
V6L,10563
V6M,16421
V6N,14258
V6P,33079
V6R,19170
V6S,15711
V6T,12048
V6V,11096
V6W,2439
V6X,41321
V6Y,49221
V6Z,20683
V7A,26533
V7B,820
V7C,40708
V7E,37803
V7G,11851
V7H,12430
V7J,17865
V7K,12586
V7L,29248
V7M,23086
V7N,15150
V7P,13710
V7R,15585
V7S,11141
V7T,9891
V7V,15241
V7W,8698
V7Z,203
V8A,19133
V8B,17677
V8C,8236
V8E,13788
V8G,19606
V8J,12344
V8K,11635
V8L,25107
V8M,16687
V8N,26049
V8P,18418
V8R,24074
V8S,17294
V8T,21343
V8V,28430
V8W,6459
V8X,24227
V8Y,10134
V8Z,32137
V9A,39759
V9B,53952
V9C,27886
V9E,5341
V9G,15885
V9H,10137
V9J,9385
V9K,16688
V9L,36520
V9M,18470
V9N,32956
V9P,27708
V9R,31992
V9S,17977
V9T,36952
V9V,11300
V9W,30783
V9X,11345
V9Y,26445
V9Z,20131
X0A,19355
X0B,6476
X0C,11027
X0E,19798
X0G,468
X1A,20804
Y0A,1657
Y0B,7481
Y1A,31094
